Month,Timestamp,CA,CENT,FL,MIDA,MIDW,NCSC,NE,NW,NY,RM,SE,SW,TE,TN,AKGD,HIMS,HIOA
1,0,3.2E-05,3.3E-05,5.5E-05,1.0E-04,8.2E-05,-3.5E-05,1.1E-05,3.9E-05,8.9E-05,8.1E-05,4.5E-05,-9.7E-05,9.3E-05,7.3E-04,0.0E+00,0.0E+00,0.0E+00
1,1,4.5E-05,8.1E-05,5.1E-05,-4.4E-05,9.7E-05,1.2E-04,1.1E-05,9.2E-05,3.0E-05,1.4E-04,3.3E-05,4.8E-05,9.3E-05,7.3E-04,0.0E+00,0.0E+00,0.0E+00
1,2,3.3E-05,8.1E-05,6.7E-05,-4.4E-05,6.6E-05,9.5E-05,1.1E-05,6.2E-05,5.5E-05,-5.5E-05,3.3E-05,1.3E-04,9.3E-05,7.3E-04,0.0E+00,0.0E+00,0.0E+00
1,3,3.5E-05,3.3E-05,5.9E-05,-4.4E-05,6.6E-05,9.5E-05,1.1E-05,1.5E-04,5.5E-05,9.5E-05,3.6E-05,1.3E-04,9.3E-05,7.3E-04,0.0E+00,0.0E+00,0.0E+00
1,4,3.3E-05,3.3E-05,2.0E-05,-4.4E-05,6.6E-05,9.5E-05,1.1E-05,9.2E-05,3.0E-05,3.6E-05,3.6E-05,1.3E-04,9.3E-05,7.3E-04,0.0E+00,0.0E+00,0.0E+00
1,5,3.9E-05,5.0E-05,2.0E-05,-4.4E-05,6.6E-05,3.9E-05,1.1E-05,3.9E-05,3.0E-05,1.0E-04,3.6E-05,1.5E-04,9.3E-05,7.3E-04,0.0E+00,0.0E+00,0.0E+00
1,6,3.9E-05,5.0E-05,2.0E-05,-4.4E-05,8.2E-05,3.9E-05,1.1E-05,9.2E-05,5.5E-05,2.2E-05,3.6E-05,4.8E-05,7.5E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,7,3.3E-05,5.1E-05,5.9E-05,1.0E-04,6.1E-05,9.5E-05,1.1E-05,1.5E-04,8.9E-05,1.1E-05,3.6E-05,4.8E-05,7.1E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,8,5.9E-05,8.1E-05,5.1E-05,1.0E-04,4.5E-05,1.2E-04,1.1E-05,1.5E-04,8.7E-05,2.2E-05,3.3E-05,1.3E-04,7.1E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,9,3.6E-05,1.3E-04,5.3E-05,1.0E-04,1.6E-04,1.2E-04,1.1E-05,1.0E-04,6.9E-05,2.2E-05,4.5E-05,-1.0E-04,7.1E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,10,3.1E-05,8.1E-05,6.9E-06,1.0E-04,1.6E-04,9.5E-05,1.1E-05,2.9E-05,8.9E-05,2.2E-05,3.3E-05,5.1E-05,1.2E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,11,2.8E-05,4.7E-05,1.1E-04,1.9E-05,6.4E-05,9.5E-05,2.4E-05,2.3E-05,8.9E-05,2.2E-05,3.3E-05,4.4E-05,6.8E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,12,2.8E-05,4.7E-05,2.1E-05,1.9E-05,1.3E-04,3.9E-05,2.4E-05,2.3E-04,8.9E-05,-3.5E-05,3.6E-05,8.8E-05,6.8E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,13,3.1E-05,4.7E-05,5.0E-05,1.9E-05,1.3E-04,3.9E-05,2.4E-05,2.3E-05,6.9E-05,1.1E-04,3.6E-05,4.4E-05,1.1E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,14,3.6E-05,4.1E-05,6.0E-05,1.1E-04,3.1E-05,3.9E-05,3.0E-05,2.9E-05,-4.2E-05,1.1E-04,3.6E-05,5.1E-05,1.1E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,15,5.9E-05,4.1E-05,9.6E-05,3.2E-05,1.0E-04,3.9E-05,2.6E-05,6.2E-05,1.9E-04,2.2E-05,3.3E-05,1.5E-04,3.6E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,16,4.5E-05,4.1E-05,6.5E-05,5.2E-05,7.2E-05,1.2E-04,3.7E-05,1.8E-04,6.0E-05,6.1E-05,3.5E-05,4.4E-05,1.1E-04,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,17,3.5E-05,4.7E-05,5.7E-05,1.6E-04,2.3E-04,-1.2E-05,4.5E-05,7.9E-05,-8.1E-05,7.7E-05,6.1E-05,1.5E-04,3.1E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,18,4.4E-05,1.3E-04,5.7E-05,1.9E-05,3.4E-05,-5.2E-05,3.7E-05,7.9E-05,-8.1E-05,6.1E-05,6.1E-05,1.2E-04,3.6E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
1,19,4.4E-05,8.1E-05,6.5E-05,1.9E-05,3.4E-05,1.8E-04,2.6E-05,7.9E-05,1.8E-04,7.7E-05,3.2E-05,1.2E-04,1.2E-05,7.9E-05,0.0E+00,0.0E+00,0.0E+00
