Month,Timestamp,CA,CENT,FL,MIDA,MIDW,NCSC,NE,NW,NY,RM,SE,SW,TE,TN,AKGD,HIMS,HIOA
1,0,0.878,2.194,1.09,2.002,2.41,1.45,1.97,1.524,1.168,-0.45,0.778,1.14,1.602,1.068,1.406360365,1.605330144,1.526191392
1,1,1.318,1.602,1.056,1.508,1.08,1.45,1.278,1.654,0.976,2.402,1.086,1.484,1.602,1.21,1.406360365,1.605330144,1.526191392
1,2,1.242,1.602,1.266,1.508,2.41,1.45,1.97,1.902,1.02,3.072,1.086,0.978,0.934,1.068,1.406360365,1.605330144,1.526191392
1,3,0.628,2.194,0.818,1.73,2.41,1.45,0.384,1.902,1.02,1.466,1.086,1.788,1.602,1.21,1.406360365,1.605330144,1.526191392
1,4,0.628,2.194,0.818,1.73,1.08,1.474,1.278,1.902,1.056,1.466,1.086,1.788,1.774,1.68,1.406360365,1.605330144,1.526191392
1,5,0.628,2.194,0.818,1.43,1.54,1.534,1.278,1.742,0.976,2.402,1.086,1.788,1.544,1.474,1.406360365,1.605330144,1.526191392
1,6,1.242,1.602,0.818,1.43,1.794,1.45,1.522,1.742,1.222,3.5,1.086,1.484,1.004,1.68,1.406360365,1.605330144,1.526191392
1,7,1.158,1.602,1.266,1.73,1.234,1.45,1.374,1.612,0.954,3.5,1.086,1.14,1.404,1.68,1.406360365,1.605330144,1.526191392
1,8,0.742,1.412,1.056,1.508,2.466,1.474,0.506,0.772,0.338,-0.45,1.086,1.788,1.212,1.68,1.406360365,1.605330144,1.526191392
1,9,1.07,2.146,1.32,0.936,1.698,1.876,0.506,1.044,1.892,0.282,1.8,1.15,1.004,1.68,1.406360365,1.605330144,1.526191392
1,10,1.002,2.146,0.692,1.578,1.774,1.998,0.506,1.568,1.234,4.1,1.23,0.1,0.966,1.21,1.406360365,1.605330144,1.526191392
1,11,1.178,2.146,1.016,0.978,1.956,1.342,1.522,1.568,0.994,1.916,1.216,2.4,1.774,1.21,1.406360365,1.605330144,1.526191392
1,12,1.178,2.146,0.812,2.002,1.774,0.962,1.806,1.568,0.886,2.052,1.216,0.508,1.774,1.68,1.406360365,1.605330144,1.526191392
1,13,1.002,2.146,0.63,2.002,2.076,2.234,1.312,1.568,0.94,2.052,1.216,1.678,0.966,1.68,1.406360365,1.605330144,1.526191392
1,14,1.036,2.146,1.61,2.002,2.076,0.962,1.216,1.522,0.68,0.536,1.216,0.508,1.254,1.474,1.406360365,1.605330144,1.526191392
1,15,1.252,1.994,0.834,2.002,1.698,2.234,1.036,2.432,0.794,1.222,1.23,2.4,1.544,1.68,1.406360365,1.605330144,1.526191392
1,16,1.318,1.838,0.834,1.072,2.076,1.832,1.208,0.772,1.282,1.95,1.23,1.562,1.05,1.21,1.406360365,1.605330144,1.526191392
1,17,1.06,1.552,1.038,3.01,1.956,1.732,0.606,1.902,0.678,1.186,1.216,1.14,1.086,1.068,1.406360365,1.605330144,1.526191392
1,18,1.112,1.552,1.038,3.01,1.956,1.94,0.606,1.832,1.314,1.186,1.216,1.816,1.226,1.21,1.406360365,1.605330144,1.526191392
1,19,1.372,1.552,1.61,1.676,1.774,1.732,1.362,1.832,0.44,1.546,1.216,1.816,1.226,1.21,1.406360365,1.605330144,1.526191392
1,20,1.112,1.552,1.488,2.124,2.076,0.61,1.036,2.476,1.092,1.546,1.23,1.816,1.226,1.68,1.406360365,1.605330144,1.526191392
1,21,1.372,1.552,1.016,1.77,2.466,1.584,0.528,0.772,1.404,1.546,1.16,0.568,1.226,1.68,1.406360365,1.605330144,1.526191392
1,22,1.06,1.552,0.772,1.822,1.794,0.962,1.522,1.778,1.232,1.766,1.8,1.972,1.086,1.474,1.406360365,1.605330144,1.526191392
1,23,0.922,1.552,0.966,0.936,1.08,1.444,0.506,2,1.106,1.222,1.8,0.976,1.288,1.474,1.406360365,1.605330144,1.526191392
1,24,1.318,1.552,1.466,1.044,2.186,1.534,1.97,1.396,1.168,2.956,0.778,0.978,1.366,1.474,1.406360365,1.605330144,1.526191392
1,25,0.628,1.552,1.266,1.73,2.186,1.474,1.416,1.522,0.976,2.052,1.086,1.788,1.366,1.68,1.406360365,1.605330144,1.526191392
1,26,0.85,1.552,0.818,1.238,2.186,1.45,1.416,1.086,1.056,4.1,1.086,1.788,1.366,1.68,1.406360365,1.605330144,1.526191392
1,27,0.806,1.552,0.818,1.238,2.186,1.586,1.804,1.086,1.02,0.454,1.086,1.788,1.366,1.68,1.406360365,1.605330144,1.526191392
1,28,0.806,1.954,0.912,1.238,2.41,1.586,0.486,1.522,1.02,3.258,1.086,1.788,1.366,1.21,1.406360365,1.605330144,1.526191392
1,29,1.252,1.84,0.818,1.43,1.08,1.45,1.804,1.522,1.056,1.292,1.086,1.788,1.288,1.068,1.406360365,1.605330144,1.526191392
1,30,0.85,1.84,0.818,1.508,2.192,1.474,1.278,1.396,0.976,1.426,0.778,1.484,1.086,2.472,1.406360365,1.605330144,1.526191392
1,31,1.252,1.84,1.012,1.044,1.794,0.782,1.522,1.044,0.954,1.222,1.8,0.976,1.086,2.472,1.406360365,1.605330144,1.526191392
1,32,0.742,2.112,1.09,1.722,1.698,1.444,1.806,1.396,0.462,2.83,1.16,1.788,1.364,0.954,1.406360365,1.605330144,1.526191392
1,33,1.036,2.112,1.8,1.722,1.774,1.998,1.11,1.568,1.234,2.83,1.23,1.15,1.366,2.202,1.406360365,1.605330144,1.526191392
1,34,1.002,1.84,0.948,1.722,1.774,1.444,1.11,1.766,0.462,1.426,1.216,2.4,1.05,2.202,1.406360365,1.605330144,1.526191392
1,35,1.178,1.954,0.898,2.002,1.774,1.876,1.806,1.766,1.234,1.426,1.216,1.678,1.254,2.202,1.406360365,1.605330144,1.526191392
1,36,1.002,1.552,0.812,2.002,2.076,1.534,0.506,1.766,1.234,1.426,1.23,1.946,0.934,0.954,1.406360365,1.605330144,1.526191392
1,37,1.002,1.646,1.488,1.508,1.698,1.534,0.224,1.468,0.338,1.426,1.23,1.946,1.288,1.522,1.406360365,1.605330144,1.526191392
1,38,1.07,1.838,0.63,1.508,1.698,1.534,1.11,1.766,1.234,1.426,1.16,0.71,1.388,1.068,1.406360365,1.605330144,1.526191392
1,39,1.13,2.206,0.63,2.002,1.698,1.534,0.528,1.086,0.886,2.83,1.16,2.4,1.5,2.472,1.406360365,1.605330144,1.526191392
1,40,1.298,1.838,1.61,0.936,2.076,1.876,1.312,2,0.68,1.914,1.23,2.194,1.308,2.202,1.406360365,1.605330144,1.526191392
1,41,0.748,1.838,1.61,1.77,1.956,1.998,1.216,1.778,1.282,1.644,1.84,0.976,1.12,0.492,1.406360365,1.605330144,1.526191392
1,42,1.42,2.244,0.834,2.124,1.228,0.962,1.216,1.778,1.282,1.222,1.742,1.14,0.934,0.492,1.406360365,1.605330144,1.526191392
1,43,1.42,1.01,0.63,0.978,1.956,1.342,1.216,1.27,0.44,1.99,1.742,1.14,1.12,2.084,1.406360365,1.605330144,1.526191392
1,44,0.748,1.412,1.284,0.978,1.774,1.998,1.216,2,1.582,3.258,1.84,1.14,1.466,1.738,1.406360365,1.605330144,1.526191392
1,45,0.878,1.412,0.948,1.522,2.076,1.444,1.11,2,0.794,0.282,1.84,1.14,1.466,2.202,1.406360365,1.605330144,1.526191392
1,46,1.318,2.194,1.8,1.822,1.234,1.534,0.506,1.396,0.94,3.056,1.312,0.976,1.288,2.472,1.406360365,1.605330144,1.526191392
1,47,0.628,1.602,0.58,2.002,2.192,1.45,0.808,1.522,0.886,0.85,1.23,1.484,1.162,1.522,1.406360365,1.605330144,1.526191392
1,48,1.13,1.602,1.012,1.73,2.41,1.45,0.446,1.086,1.244,0.85,1.16,0.978,1.388,1.522,1.406360365,1.605330144,1.526191392
1,49,0.85,2.194,0.818,1.43,1.144,1.586,0.446,1.086,0.338,0.85,1.16,0.528,1.388,2.472,1.406360365,1.605330144,1.526191392
1,50,0.742,2.146,0.912,1.238,2.092,1.586,1.416,1.086,1.222,1.466,1.16,2.194,1.5,2.472,1.406360365,1.605330144,1.526191392
1,51,0.742,1.01,0.912,1.238,1.144,1.586,1.416,1.568,0.976,1.466,1.16,0.528,1.388,0.954,1.406360365,1.605330144,1.526191392
1,52,0.742,1.01,0.71,1.238,2.186,1.586,0.808,1.568,1.222,0.85,1.23,1.684,1.388,0.172,1.406360365,1.605330144,1.526191392
1,53,1.07,1.994,0.71,1.572,1.08,1.586,1.97,1.568,0.954,2.468,1.216,1.846,1.162,2.084,1.406360365,1.605330144,1.526191392
1,54,0.742,2.244,0.912,1.238,2.546,1.474,1.374,1.568,0.338,3.258,1.312,0.978,1.12,0.492,1.406360365,1.605330144,1.526191392
1,55,0.742,2.206,0.818,1.73,1.794,1.474,1.806,1.522,0.462,2.006,1.71,1.484,1.602,0.982,1.406360365,1.605330144,1.526191392
1,56,1.07,1.646,1.012,2.002,1.234,1.534,1.11,1.086,0.886,2.006,0.252,1.684,0.934,1.63,1.406360365,1.605330144,1.526191392
1,57,1.036,1.552,0.58,1.906,1.234,0.782,0.528,1.522,0.94,1.99,0.436,1.37,1.602,2.13,1.406360365,1.605330144,1.526191392
1,58,1.002,1.954,1.054,1.578,2.954,0.782,0.788,1.086,1.404,1.99,1.71,0.508,0.99,1.63,1.406360365,1.605330144,1.526191392
1,59,1.002,1.954,1.132,1.522,2.954,1.474,1.036,1.198,1.582,2.006,1.84,0.71,0.99,0.982,1.406360365,1.605330144,1.526191392
1,60,1.002,1.954,1.35,1.77,1.234,1.45,1.126,1.198,1.338,2.006,1.312,1.412,1.602,0.982,1.406360365,1.605330144,1.526191392
1,61,1.036,1.646,1.35,1.77,1.234,1.45,1.362,1.766,1.282,2.006,1.23,1.412,1.602,0.492,1.406360365,1.605330144,1.526191392
1,62,0.742,1.646,1.35,1.77,2.954,1.586,1.208,1.766,0.44,2.006,1.23,1.412,0.934,0.492,1.406360365,1.605330144,1.526191392
1,63,1.158,1.646,1.35,0.978,2.954,1.45,0.606,1.086,0.706,2.006,1.216,1.678,0.934,2.376,1.406360365,1.605330144,1.526191392
1,64,0.878,1.646,1.016,2.002,2.466,1.534,1.344,2,1.424,1.99,1.71,1.748,1.774,1.63,1.406360365,1.605330144,1.526191392
1,65,1.112,1.954,1.284,3.01,2.076,1.152,1.34,1.006,1.274,1.644,2.032,1.14,1.544,1.558,1.406360365,1.605330144,1.526191392
1,66,1.144,1.84,1.488,3.01,2.076,1.584,1.34,1.902,1.274,1.222,1.554,1.972,1.004,1.372,1.406360365,1.605330144,1.526191392
1,67,1.144,1.646,0.812,3.01,2.466,1.584,1.344,1.832,0.678,2.006,1.758,1.14,1.254,0.604,1.406360365,1.605330144,1.526191392
1,68,1.242,2.244,1.016,3.01,1.234,1.832,1.126,1.902,0.678,0.282,1.758,1.972,1.602,1.714,1.406360365,1.605330144,1.526191392
1,69,1.112,2.146,0.772,1.676,2.954,1.584,1.216,1.902,0.706,3.056,1.758,1.14,1.466,1.714,1.406360365,1.605330144,1.526191392
1,70,1.372,2.194,0.966,0.978,1.54,1.342,1.806,0.848,0.68,0.85,1.296,1.846,1.308,1.372,1.406360365,1.605330144,1.526191392
1,71,1.396,1.602,1.466,1.578,1.08,1.998,1.278,2.476,0.886,1.466,1.74,0.634,1.5,1.694,1.406360365,1.605330144,1.526191392
1,72,1.024,2.018,1.266,1.822,2.41,0.782,0.808,0.848,0.462,2.874,1.74,0.528,0.808,1.558,1.406360365,1.605330144,1.526191392
1,73,1.318,1.874,0.818,1.722,2.41,1.534,1.97,2.476,1.168,2.874,1.296,2.194,0.808,0.604,1.406360365,1.605330144,1.526191392
1,74,0.728,1.874,0.912,2.002,2.41,0.782,0.384,0.772,0.976,2.768,1.448,2.194,0.956,1.714,1.406360365,1.605330144,1.526191392
1,75,1.242,1.56,0.912,1.722,2.546,1.876,1.278,2.784,0.976,1.658,1.732,0.528,1.5,1.972,1.406360365,1.605330144,1.526191392
1,76,1.024,1.56,0.912,0.936,2.954,1.998,0.506,0.772,0.954,2.768,1.732,0.634,1.388,1.842,1.406360365,1.605330144,1.526191392
1,77,1.396,1.56,1.012,1.77,2.076,2.234,1.806,0.772,1.234,1.658,1.194,1.484,1.288,0.752,1.406360365,1.605330144,1.526191392
1,78,0.748,1.874,1.32,3.01,1.228,1.94,1.436,1.832,0.794,3.5,1.53,1.972,1.602,0.752,1.406360365,1.605330144,1.526191392
1,79,0.996,1.56,1.132,2.552,1.926,1.764,1.208,1.654,1.314,2.052,2.008,1.816,0.966,0.752,1.406360365,1.605330144,1.526191392
1,80,1.242,2.766,0.772,1.964,1.926,1.064,1.344,1.902,0.678,0.536,1.53,0.448,1.254,1.842,1.406360365,1.605330144,1.526191392
1,81,0.806,1.874,1.8,1.964,1.926,1.508,1.34,2.476,0.678,1.292,2.55,1.846,0.99,0.664,1.406360365,1.605330144,1.526191392
1,82,0.806,1.874,0.804,1.964,1.552,1.732,1.34,0.772,0.678,1.99,0.82,1.15,1.602,1.97,1.406360365,1.605330144,1.526191392
1,83,1.252,1.56,1.32,2.552,1.228,1.832,1.34,0.772,0.678,1.292,1.758,2.31,0.934,0.604,1.406360365,1.605330144,1.526191392
1,84,0.742,1.874,1.32,1.776,1.956,1.832,1.344,0.772,1.314,0.454,2.032,0.1,0.934,1.372,1.406360365,1.605330144,1.526191392
1,85,0.742,2.194,0.58,1.776,2.076,1.146,1.344,1.27,1.282,2.468,1.088,2.4,0.934,1.558,1.406360365,1.605330144,1.526191392
1,86,1.252,1.01,0.58,1.776,2.466,1.152,1.344,1.044,0.706,2.76,3.114,0.508,1.602,1.298,1.406360365,1.605330144,1.526191392
1,87,1.13,2.244,1.32,1.742,2.466,1.152,1.34,2,1.314,3.056,3.114,0.1,0.99,1.694,1.406360365,1.605330144,1.526191392
1,88,1.298,1.838,1.054,1.776,1.698,2.234,1.086,0.772,1.424,3.258,1.74,1.562,1.254,1.372,1.406360365,1.605330144,1.526191392
1,89,1.372,1.552,0.948,1.964,2.076,1.94,1.372,1.612,1.136,2.006,1.448,1.14,1.404,1.972,1.406360365,1.605330144,1.526191392
1,90,1.372,1.84,0.812,1.736,1.774,1.064,1.086,1.612,1.136,0.454,1.732,0.448,1.366,1.972,1.406360365,1.605330144,1.526191392
1,91,1.42,1.84,0.812,1.964,1.774,1.942,1.34,1.902,1.136,-0.45,1.732,1.972,1.366,1.714,1.406360365,1.605330144,1.526191392
1,92,1.42,1.84,0.898,2.552,2.076,1.942,0.606,1.832,1.274,0.85,1.732,1.972,1.366,0.604,1.406360365,1.605330144,1.526191392
1,93,0.996,1.84,1.35,1.742,1.234,1.942,1.036,0.772,0.706,1.466,1.758,0.976,1.05,0.604,1.406360365,1.605330144,1.526191392
1,94,1.396,1.552,1.8,3.01,1.794,1.064,0.528,2.784,0.794,1.466,1.296,0.978,1.212,1.372,1.406360365,1.605330144,1.526191392
1,95,1.024,1.838,0.58,2.124,2.192,1.508,0.224,2.432,1.244,3.072,1.31,1.684,1.254,1.372,1.406360365,1.605330144,1.526191392
1,96,0.728,1.782,1.466,1.522,2.546,1.93,0.506,2,1.234,2.874,1.088,1.562,0.99,1.372,1.406360365,1.605330144,1.526191392
1,97,1.13,1.01,1.012,1.822,1.08,1.94,0.384,1.044,0.396,0.724,1.088,1.74,0.99,1.372,1.406360365,1.605330144,1.526191392
1,98,0.806,1.75,1.012,1.822,1.54,1.93,0.808,1.044,0.954,0.724,1.088,1.74,0.99,1.558,1.406360365,1.605330144,1.526191392
1,99,0.806,1.412,1.012,1.578,1.794,1.508,0.808,1.044,0.954,3.072,1.31,1.74,1.774,0.604,1.406360365,1.605330144,1.526191392
1,100,0.85,1.602,1.056,1.578,1.698,1.508,0.506,2.432,0.338,2.402,2.032,1.15,0.966,1.714,1.406360365,1.605330144,1.526191392
1,101,1.158,2.018,0.966,0.978,1.956,1.064,1.806,1.778,1.244,3.5,1.296,1.684,1.004,1.972,1.406360365,1.605330144,1.526191392
1,102,0.878,1.602,0.948,3.01,1.926,1.388,0.788,1.832,1.404,3.5,2.55,0.976,1.05,1.97,1.406360365,1.605330144,1.526191392
1,103,1.396,1.602,1.488,1.776,2.196,2.408,1.208,1.612,1.282,3.056,2.55,1.972,1.366,1.842,1.406360365,1.605330144,1.526191392
1,104,1.024,2.018,0.812,1.964,1.828,1.706,1.344,1.654,1.314,3.5,1.732,1.14,1.004,1.13,1.406360365,1.605330144,1.526191392
1,105,0.85,1.874,1.35,1.964,2.196,1.064,1.344,0.848,0.706,1.466,1.448,0.634,0.966,1.842,1.406360365,1.605330144,1.526191392
1,106,1.252,1.56,1.8,1.964,1.854,1.93,1.344,1.27,1.314,2.402,1.296,1.748,1.774,0.664,1.406360365,1.605330144,1.526191392
1,107,1.252,1.778,1.32,1.964,1.228,1.93,0.606,2,1.314,2.402,2.032,1.37,1.12,1.97,1.406360365,1.605330144,1.526191392
1,108,0.742,2.2,0.58,1.964,1.956,1.94,0.606,1.396,1.424,1.466,1.31,2.31,1.162,1.714,1.406360365,1.605330144,1.526191392
1,109,1.252,1.934,1.09,1.964,1.774,1.732,1.208,1.396,0.678,1.658,3.114,2.4,1.5,1.714,1.406360365,1.605330144,1.526191392
1,110,0.806,2.402,1.466,2.552,1.774,0.61,0.606,2,1.424,1.658,0.252,1.678,0.808,1.372,1.406360365,1.605330144,1.526191392
1,111,1.318,2.402,1.09,2.552,2.076,1.832,1.344,0.772,0.678,2.768,3.114,2.4,1.672,1.714,1.406360365,1.605330144,1.526191392
1,112,1.242,2.402,0.804,1.964,1.774,1.94,1.34,1.654,1.274,2.768,1.74,1.15,0.808,0.664,1.406360365,1.605330144,1.526191392
1,113,1.22,2.2,1.35,1.736,1.228,1.764,1.086,2.006,1.136,2.874,0.82,0.976,1.5,1.13,1.406360365,1.605330144,1.526191392
1,114,1.22,2.2,1.284,1.628,1.228,1.706,1.34,1.448,1.136,0.724,2.55,0.448,1.5,0.752,1.406360365,1.605330144,1.526191392
1,115,1.22,1.778,1.284,1.736,1.774,1.388,1.34,1.448,1.274,0.724,1.732,0.448,0.808,1.13,1.406360365,1.605330144,1.526191392
1,116,0.946,2.2,1.016,1.964,2.076,1.388,0.606,1.448,1.274,1.658,1.732,0.448,1.462,1.842,1.406360365,1.605330144,1.526191392
1,117,1.354,2.2,1.132,2.552,2.466,1.388,1.036,2.006,0.706,2.768,1.732,1.14,1.318,1.13,1.406360365,1.605330144,1.526191392
1,118,1.144,2.2,0.804,0.954,1.54,1.942,1.11,1.612,1.582,2.402,1.448,1.484,1.372,1.97,1.406360365,1.605330144,1.526191392
1,119,1.372,1.934,1.466,2.002,2.546,1.508,1.97,1.742,1.278,2.402,1.448,1.684,1.372,0.664,1.406360365,1.605330144,1.526191392
1,120,0.748,1.296,1.056,1.522,2.41,1.93,0.446,0.848,0.462,2.402,1.758,2.194,1.446,1.842,1.406360365,1.605330144,1.526191392
1,121,0.878,1.296,1.012,1.822,2.186,1.93,0.446,2.476,0.338,2.402,1.448,2.194,1.446,1.842,1.406360365,1.605330144,1.526191392
1,122,1.024,2.402,1.012,1.906,2.186,1.93,1.804,0.772,0.338,2.402,0.82,1.562,1.446,1.842,1.406360365,1.605330144,1.526191392
1,123,1.024,1.934,1.012,1.822,2.186,1.764,0.486,0.772,0.954,2.402,0.82,0.528,1.446,1.842,1.406360365,1.605330144,1.526191392
1,124,0.878,2.2,1.09,1.522,2.546,2.222,1.97,2.784,1.168,2.768,1.732,1.846,1.446,1.13,1.406360365,1.605330144,1.526191392
1,125,0.748,1.338,1.8,1.77,2.954,2.374,1.522,2.476,1.234,2.768,1.194,0.976,1.372,2.456,1.406360365,1.605330144,1.526191392
1,126,0.576,1.56,0.898,1.676,2.076,2.16,0.788,1.902,1.232,0.724,2.008,0.448,1.318,2.456,1.406360365,1.605330144,1.526191392
1,127,1.242,2.018,1.61,1.776,1.228,0.896,1.362,1.742,1.582,3.072,1.484,1.816,1.462,0.902,1.406360365,1.605330144,1.526191392
1,128,1.396,2.018,0.63,2.552,1.854,0.896,0.606,1.832,1.282,3.072,2.008,1.972,1.462,0.902,1.406360365,1.605330144,1.526191392
1,129,0.628,2.018,0.948,2.552,1.854,0.9,1.208,2.476,1.282,2.874,1.53,0.634,1.462,2.456,1.406360365,1.605330144,1.526191392
1,130,1.158,1.602,0.692,1.776,1.854,2.222,1.036,0.772,1.282,2.874,0.98,1.37,1.462,0.752,1.406360365,1.605330144,1.526191392
1,131,0.806,1.602,0.966,2.552,1.854,1.508,0.788,0.772,1.282,2.874,1.448,2.4,1.462,1.13,1.406360365,1.605330144,1.526191392
1,132,0.806,1.602,1.32,1.776,1.552,0.61,1.312,2.784,0.51,0.724,1.554,1.678,1.462,1.842,1.406360365,1.605330144,1.526191392
1,133,0.806,2.194,1.09,1.776,1.228,1.584,1.216,0.772,0.44,1.658,1.74,0.508,1.318,1.842,1.406360365,1.605330144,1.526191392
1,134,1.13,2.194,1.09,1.776,1.228,1.832,0.788,0.772,0.44,1.658,2.032,0.508,1.318,1.842,1.406360365,1.605330144,1.526191392
1,135,1.318,1.602,0.58,1.776,1.228,1.732,1.436,2.476,1.314,2.874,1.74,0.1,1.318,1.13,1.406360365,1.605330144,1.526191392
1,136,1.06,2.194,1.8,2.552,1.552,1.764,1.036,1.742,0.678,0.454,1.758,0.634,1.462,2.456,1.406360365,1.605330144,1.526191392
1,137,1.048,1.75,0.948,1.736,1.854,1.388,1.362,1.654,1.05,1.99,1.732,0.448,0.956,2.456,1.406360365,1.605330144,1.526191392
1,138,1.144,1.75,0.812,1.736,1.926,1.196,1.208,1.652,1.05,2.83,0.98,1.63,1.162,1.13,1.406360365,1.605330144,1.526191392
1,139,1.144,1.412,0.812,1.964,1.854,1.196,1.208,1.652,1.274,2.83,0.98,1.816,1.388,1.842,1.406360365,1.605330144,1.526191392
1,140,1.144,1.412,1.016,1.776,1.552,1.196,1.126,1.448,0.678,1.222,0.98,1.816,1.388,1.13,1.406360365,1.605330144,1.526191392
1,141,0.576,1.412,1.35,0.954,1.228,1.196,0.528,2.006,0.706,1.222,2.55,0.448,1.5,1.842,1.406360365,1.605330144,1.526191392
1,142,1.372,1.602,1.054,1.676,1.774,1.196,1.522,1.654,0.794,1.914,0.82,1.972,0.808,0.664,1.406360365,1.605330144,1.526191392
1,143,0.996,2.018,1.09,1.77,1.698,2.408,0.808,1.612,1.278,1.914,1.296,0.978,1.672,0.664,1.406360365,1.605330144,1.526191392
1,144,0.878,1.56,1.012,1.522,1.234,2.408,1.186,1.902,1.244,2.83,1.296,1.846,1.462,1.97,1.406360365,1.605330144,1.526191392
1,145,0.728,1.56,1.266,1.522,1.794,2.408,1.082,1.832,0.338,1.222,1.554,1.684,1.462,0.664,1.406360365,1.605330144,1.526191392
1,146,0.728,1.874,1.266,1.578,1.54,1.196,1.054,1.832,1.168,1.222,1.758,1.846,1.462,0.664,1.406360365,1.605330144,1.526191392
1,147,1.318,2.018,1.266,1.522,1.794,2.374,1.054,0.848,1.168,1.222,1.732,0.978,0.808,1.842,1.406360365,1.605330144,1.526191392
1,148,0.878,2.018,1.012,1.77,2.954,2.34,1.082,1.902,1.892,1.644,1.732,0.976,1.388,1.13,1.406360365,1.605330144,1.526191392
1,149,1.42,1.75,1.09,2.124,2.076,0.896,1.416,1.524,0.886,1.766,0.98,1.972,1.466,1.13,1.406360365,1.605330144,1.526191392
1,150,1.242,2.244,1.132,0.954,1.854,1.62,0.224,2.006,1.404,1.222,1.526,0.704,1.774,0.752,1.406360365,1.605330144,1.526191392
1,151,1.144,1.646,1.016,2.552,1.828,1.466,1.216,1.652,1.338,1.546,1.53,0.704,1.212,0.752,1.406360365,1.605330144,1.526191392
1,152,1.372,1.954,1.016,1.964,1.982,1.62,1.216,1.652,1.282,1.186,1.53,1.816,1.212,0.752,1.406360365,1.605330144,1.526191392
1,153,0.996,1.84,0.772,2.552,1.828,2.34,1.216,0.52,0.44,1.186,1.53,1.846,1.212,0.752,1.406360365,1.605330144,1.526191392
1,154,0.922,1.84,1.132,1.776,1.982,1.388,0.528,0.71,1.338,1.186,1.284,1.748,1.004,2.456,1.406360365,1.605330144,1.526191392
1,155,1.024,1.84,0.692,1.742,1.982,1.942,0.954,1.654,1.582,1.546,1.194,0.1,1.004,2.456,1.406360365,1.605330144,1.526191392
1,156,1.318,1.84,1.8,0.954,1.828,1.064,0.954,1.654,0.68,1.546,1.526,0.71,1.004,2.456,1.406360365,1.605330144,1.526191392
