"Column: x, Row: y",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
1,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641,102.601641
2,102.601641,162.5679027,169.3417147,176.5520449,188.299906,198.6247172,208.3510471,218.091552,226.6184678,235.4795458,244.5157463,251.6774878,255.033898,258.0520389,268.0538594,272.3522803,277.8546279,278.7250727,272.5550545,265.8262573,264.1297316,264.9748263,264.8111488,264.1366879,264.1765652,266.0540913,266.440658,268.0456109,273.2512762,278.2321425,281.2219236,287.3125952,287.8444981,290.7902417,293.2978062,297.0250713,299.6857782,301.5027157,303.7851062,307.1815461,309.6704581,313.313691,315.4816611,316.3054155,316.606475,316.1532798,317.9372526,321.0707748,330.8279841,330.9481268,339.7409918,590.3798022,405.1321028,327.1188469,194.4854204,152.5593625,148.2241565,132.9569705,125.1568188,127.4669877,183.7528589,166.1611696,124.927514,133.1735754,158.0948039,191.969259,266.6795136,296.8667254,284.7699927,392.2293757,580.4976298,610.8860012,606.6134433,672.4094727,614.6677001,624.9497695,648.3884073,650.0273625,641.8188005,633.8544055,629.4339268,626.3313632,628.5109893,626.3665905,625.1630519,623.3142756,620.4005888,616.7053322,612.1702371,607.557655,609.2187745,612.6013917,615.5410434,618.3580678,620.7374248,625.6056375,632.7671024,612.279837,621.37297,650.7801132,682.4050511,749.9748264,771.7689329,725.3553955,637.9453275,612.4648308,521.2119386,513.9941591,504.0203687,498.4011028,493.9957716,494.1238967,499.9255501,500.390548,498.9609767,490.3272475,482.3602804,478.7912976,477.8892376,479.4955435,487.0819925,480.3146342,474.0471598,468.3668937,461.3981662,456.8167939,453.6116095,452.967497,466.8257062,462.9998491,457.4415225,448.3330271,438.1618011,393.8920874,474.2634968,441.258969,419.7667678,412.5168202,400.0642335,418.8806917,413.4338734,397.6651507,392.4877811,388.0203412,387.9615637,400.5631505,408.1865099,102.601641
3,102.601641,173.8647151,179.48376,189.8660829,204.8016242,217.8557932,229.0717652,241.0111844,249.92344,258.8585268,268.3077341,273.7626988,277.6122223,279.5259613,286.017615,284.0835454,284.6235745,283.2469661,280.754658,276.0636332,275.1546145,273.8853391,273.0665936,275.1964863,279.4554684,283.4951818,285.855776,290.261455,293.1499004,297.3076959,303.7261872,309.7325654,311.2931076,312.5520352,311.0212278,311.9794333,314.7477818,318.8939382,324.3376468,328.4207962,333.1962865,333.2952918,331.349306,332.7625986,336.1620762,334.53303,329.9480955,328.1657814,341.4037115,350.6469438,354.1475982,505.4865468,376.4119095,277.3968749,175.9001971,163.4276801,154.5882151,138.5183137,125.6144657,121.1905716,174.1056375,169.0366852,131.587112,142.4029501,164.5146236,217.2920971,283.1874755,296.369428,400.0868714,485.3415877,546.571984,520.0954743,557.4600651,711.7233721,615.2541392,632.274236,645.1030421,645.4800981,642.5709448,640.7096005,637.7015827,638.6114656,638.3266581,638.0155802,636.5661594,634.8250039,630.7231779,626.0119649,619.8796081,616.2396162,619.6324767,620.8956459,622.8354388,625.9172878,629.3181889,632.1171815,632.656828,625.6524729,631.4829945,639.5404505,646.1730591,654.9913304,658.851064,614.1572818,576.5333829,557.5612415,553.8790563,536.040782,525.7752063,517.2873134,512.8381143,510.7885025,515.5773801,516.0218465,516.2336141,509.0830509,502.8922337,494.6810078,492.3904582,496.15021,499.3441455,495.2046811,490.4673799,483.0463878,475.4620585,468.6020041,463.7696026,461.9996436,465.7650102,461.5123062,455.835302,445.2152045,433.573625,407.8103668,358.6548703,376.9408665,529.0188554,628.3717422,383.1512265,395.1076691,397.1723393,414.7581171,376.2035724,375.7268032,387.0137974,399.9868604,411.5908915,102.601641
4,102.601641,188.1991961,198.8374206,216.8525803,232.1687975,244.1563922,256.0382121,265.9650719,272.3334707,275.8204642,283.8252051,289.9577843,288.9365775,292.0981113,293.8267997,299.3000105,295.6122711,293.7271565,290.4221965,285.9054608,284.2779643,283.4066668,285.3029928,291.1049529,295.2744036,301.4803639,307.152727,308.3989468,311.4316838,321.2015018,326.0900045,328.7332321,329.7058361,327.461672,323.0706836,322.2626761,324.6127873,331.4018122,338.1756258,343.0926976,346.000631,346.3613421,345.475743,348.2787223,350.4336843,352.6557185,348.0300743,339.2651584,340.9936087,365.3865671,465.5273923,394.07089,268.9800451,202.0949165,230.9782834,159.9909169,141.1200943,122.4798601,120.5197844,125.8557063,151.5508169,158.1444763,134.1279767,149.240803,195.8102782,234.6782096,282.8870083,296.2902991,399.9991728,501.2918188,550.4852105,577.82512,634.4996405,618.9789216,618.4361144,652.5518192,657.6932219,650.9354766,650.8959724,650.3049861,646.7629337,644.6314103,649.7632811,646.7483625,644.1638689,641.576706,639.4145935,634.9437752,627.971283,623.7588163,623.2400329,626.1474196,627.0965788,629.122142,632.7295585,636.4159156,640.1269202,641.2115941,643.9733686,646.9781823,649.3390928,647.5833431,631.1912721,609.7423248,594.4180065,578.4930369,562.413009,550.675769,544.7185818,540.2104847,533.2438548,523.7208933,522.673015,531.8755919,532.7639373,529.9769425,523.0387413,503.6693333,512.2775449,513.6609496,512.3963044,509.9401352,505.2347638,499.3962013,492.794028,485.4270383,476.1571856,469.9641447,464.6546522,457.6857858,446.8443027,468.6812494,449.1972313,420.7983069,402.5023984,344.3772443,410.0688109,436.053969,430.7427152,400.2262497,371.5999325,476.7555151,355.1298715,384.5750293,398.3141935,426.8469793,444.5116238,102.601641
5,102.601641,217.9335141,233.9300479,250.0963187,260.6684899,267.6766409,273.8261211,280.3425669,285.5628603,290.0625046,297.3089544,298.2573641,303.5222516,303.4377801,309.6507927,308.2740053,303.557706,299.4109849,296.1219687,293.9876494,294.7887995,296.7733848,303.0307094,309.1561021,316.831834,320.8446736,321.0058922,327.40578,337.9367787,341.3185958,344.3770761,349.0894529,343.8035163,336.4777785,333.7895612,332.3984845,334.1950204,338.8423134,349.3173897,353.9973609,358.076494,364.978951,366.7000853,371.2123136,374.7963348,368.7508495,360.7717918,358.8189489,349.7211384,355.8482051,517.0769365,397.6625878,310.8478964,222.2279805,164.6814428,172.3961922,132.7926463,128.365819,115.4140143,122.030473,136.6616743,146.3090545,143.7526457,156.9773999,210.3834925,265.5071589,305.2510153,277.9173938,390.9635865,473.2498358,574.6465377,526.5342252,619.1561449,712.0320662,662.5553391,678.4125465,677.2848198,668.5312146,659.4806977,656.1358984,652.5944187,652.4828304,656.0740366,655.636399,655.9390736,650.5658845,649.9805981,646.8425558,644.179085,639.297762,631.9860419,635.0142291,630.5473361,631.5076805,635.6203027,640.9986763,643.6329014,650.2724049,651.7469317,655.8013998,652.8040354,645.0800326,635.5872914,618.3040395,603.356118,586.1684363,570.4351277,561.8895066,556.1390883,555.561083,549.090974,535.5738297,506.7659402,684.1769119,534.8522318,549.3854044,543.9089801,507.4663615,632.9808451,542.1482457,534.0264772,527.0321297,521.6284986,515.0176226,511.4620827,498.61472,480.6330839,469.3243685,459.9996707,454.1359083,438.1370182,450.1158618,390.8477614,417.725359,389.0313232,406.5439296,415.3661018,402.6238289,425.0677104,432.3115436,401.3458104,505.4886336,540.856112,550.8073667,432.393551,479.4620334,520.2678942,102.601641
6,102.601641,248.9154032,261.4052576,270.3047578,277.4625105,281.8066196,288.599622,293.7404799,301.320202,304.4143209,309.4807297,316.3066352,320.3801303,320.9252494,321.3942055,320.6412102,310.4234171,306.2147129,302.023512,304.7956753,306.701908,312.6760589,320.9096684,335.8397106,338.4789099,337.887655,346.9057999,347.7699218,353.2754847,356.531996,356.1736267,353.2328928,351.1478718,349.762999,348.0023836,345.6981369,340.3053162,341.2936241,358.9636439,384.5570579,386.5117428,390.578885,385.2848322,392.7367391,395.1390091,388.4927888,385.4294822,380.2481262,362.5017054,399.2058611,442.7496947,320.9003189,232.4883402,174.5085285,141.989948,154.5321721,145.4362163,130.1083849,131.7281826,139.8689015,152.5715666,164.3038372,163.2731482,153.3345023,201.4793345,244.3180905,262.4479161,272.8506565,294.8634637,427.2427603,587.9046242,628.2486325,780.5357395,837.211865,725.4154874,726.4302915,705.6329946,689.0003482,672.8798484,666.9839524,661.8877881,661.000442,660.0767649,664.7449571,665.4710213,665.4839792,661.4111652,658.320204,658.4889601,652.1225067,650.3604323,648.7627496,644.0302396,643.210036,644.032053,651.4042956,652.762807,653.661964,659.4876961,659.6776463,656.1822923,647.4101728,634.2833351,624.1140233,611.3058336,592.2882418,575.0064333,567.1648134,561.4446152,560.7866768,556.6465769,548.8349252,527.9337495,655.8522525,695.5078594,713.4610629,572.0564107,570.1250927,565.2328918,568.9274651,558.0664773,560.4635919,550.9628795,548.4837155,518.7376013,501.6355193,471.9388376,457.9323575,463.80538,471.5927785,434.2071744,466.9875028,414.0444995,446.6512281,445.5279371,467.1061174,420.1703616,416.3601731,422.5313203,519.9682625,355.3633755,394.2174237,606.7331408,452.4347967,515.2949833,578.3610642,617.4874953,102.601641
7,102.601641,274.9321368,281.017584,286.5923255,293.6472249,297.5570329,303.8375968,310.2336356,316.9720779,318.7271899,319.3198872,336.3747808,337.1459043,328.6813718,331.1081353,329.0766263,324.2445494,315.9456939,316.4012445,321.6946951,325.7261547,332.1412698,344.8121727,351.6875927,359.4139958,366.153293,359.1824106,359.6533819,357.5384762,358.3253933,359.4157777,361.1627007,361.9711545,363.8278549,363.2441128,358.1166146,350.1488924,351.6181487,376.9615703,393.1685584,381.2354225,388.3824436,397.5374961,401.6201876,413.4020469,416.2786378,414.1986032,398.8246711,389.481934,476.6172976,332.2033843,218.8722198,181.9944984,151.3610837,153.2240852,148.8326428,149.0068907,141.6983388,148.702582,156.9816397,159.2865484,165.8605119,158.3226932,158.2774334,185.9763286,234.9754547,243.2711716,224.3843581,255.4207831,437.9845619,622.5468412,728.8082722,785.3531424,867.4972068,778.7090885,773.7855991,751.4397423,723.8732451,696.1807513,679.1727411,676.8094569,674.9722747,673.8367567,678.3591381,679.2309647,684.502912,683.3828887,684.2278163,678.6008092,675.6975036,671.7448973,669.0947074,665.4776658,659.9318797,663.2097083,664.7502687,665.7976534,669.5166343,669.7754283,666.1848806,660.6002791,652.3635569,642.1275455,627.4353454,609.9413795,593.459581,576.1263773,571.9100042,566.9715354,567.8409255,570.5185342,566.6070389,563.517573,522.8551306,675.0784145,713.7751416,704.684597,594.4998344,600.1493151,585.7976615,541.4886014,680.3924181,689.8296366,704.7904991,495.5950723,612.2202571,629.6682135,571.6618504,539.7486798,532.2518003,526.5197111,521.273376,548.2183278,491.9638092,482.6471358,556.9296718,477.0773761,460.2788776,475.1736005,492.6760298,527.9751565,519.8809851,539.0056259,575.9684849,586.7982265,632.8766869,678.3801311,102.601641
8,102.601641,293.7879302,295.7102689,300.5095163,307.7868417,318.6038395,319.9619985,326.9457443,331.1406186,332.7510252,335.6000652,354.5416964,358.5462329,347.6377238,339.200519,338.8364907,334.95252,333.1449406,332.7380059,343.4653375,348.7680257,357.8076242,368.2568315,377.6326857,395.7263654,380.7856985,373.1969209,363.8476681,359.9829449,361.3354331,365.6247246,372.4375884,376.2370565,379.419828,383.4932793,385.7261147,374.968455,370.6826527,387.1592293,388.6379909,376.9348053,400.0277472,407.1138834,416.6100463,431.8713898,446.8911101,448.8395513,433.5266473,474.5922121,485.1220512,315.8122387,203.4123411,146.9370264,147.3499879,151.8151305,179.9781835,170.8209825,160.1441184,166.4869268,167.3041324,175.0532332,173.2717036,164.4188541,166.0001247,188.5319006,235.7212714,229.9341656,238.6049261,287.2300803,503.4453106,714.1634266,778.3868355,821.7749333,883.3630468,813.5643019,817.3731991,801.5418328,771.96257,739.0157149,714.9142179,701.7516379,693.8997365,699.1271619,703.7945488,701.4343153,700.6778048,707.1205018,708.8980303,706.7275036,700.780913,701.6150384,699.9603026,692.437745,692.0720878,692.6221252,685.8128625,685.1715512,684.0373989,685.5004408,678.164589,668.7074716,659.0544377,646.9223461,633.6103122,612.8831391,593.4225083,581.0031056,578.5025311,576.0862907,580.9861136,587.325389,592.537048,594.5382146,594.196748,561.9673877,729.4566664,731.2382968,646.9505153,603.2289017,588.8018591,565.8988552,685.9720751,676.1957786,662.9959362,652.4323778,625.9563248,589.0696344,640.7830016,591.5998709,571.1105895,559.0442969,544.8848202,631.9188963,540.3390288,520.7341303,531.8817823,545.6199627,548.6621144,543.6820786,534.4669537,534.1270016,553.5746225,563.9201641,579.715864,635.234189,690.6149439,835.9591231,102.601641
9,102.601641,302.1310528,310.0846896,311.9548903,324.0242774,331.9977683,337.2437178,341.8396323,347.2073429,348.2911019,353.8139586,356.4417481,367.6651812,364.9011877,357.9836653,353.7813035,350.3430579,352.9285206,351.5011192,356.2869482,366.4069763,372.6350211,412.7784523,435.1282927,411.1324711,398.8504798,377.4826766,370.1993316,368.6629516,367.5767096,373.1952749,388.270644,399.0665058,408.7059879,415.974098,413.4393968,412.9736843,362.8546359,352.9685343,354.6462247,385.0482815,396.1612447,406.7444413,428.1890549,448.4255449,471.2781337,490.6405407,485.2068789,578.5998047,468.5660331,258.2235009,173.438801,137.6626063,145.8376711,168.5023713,179.3073071,180.2324316,174.4922595,180.8836862,195.8507171,193.792037,179.7916263,171.0477463,168.5895722,189.3908609,232.2528722,218.4994639,254.105224,383.691218,575.0405839,624.694477,670.675577,837.1811829,901.1512206,859.1444568,870.5246946,850.8415457,826.1846992,790.3129979,763.6535119,746.6941703,731.3988122,728.7543984,731.9922286,734.2640575,734.3530883,731.0202038,727.1180284,722.3243161,724.3435611,727.1939988,731.7156883,724.0549768,720.0700061,720.6192244,720.1756417,715.5281132,706.8377398,702.7694711,691.4517209,678.7074461,664.2628999,649.9251277,632.3713998,616.5185596,601.3975745,594.2600534,590.9612563,595.3620869,600.4027424,610.0510427,622.9110011,633.2903103,643.2198467,649.8352414,626.7914885,608.6914911,592.0863,698.3865955,636.5302765,621.020286,617.3735298,680.3092513,700.293748,700.4842604,628.8208791,662.9723292,732.0681653,590.4950905,580.7872154,592.8211873,596.118543,595.6288785,607.6180074,592.6613684,575.5418118,563.6602991,565.2546005,558.7235712,557.9451066,564.5364251,567.9510836,585.7448125,616.2301548,672.8537814,619.232493,1070.678857,102.601641
10,102.601641,311.7083528,319.5835905,330.1489341,340.5507777,349.3317625,350.1948213,353.1518536,359.978839,363.6015861,371.6632957,375.5973257,381.2708847,383.8287411,379.054344,372.2199278,373.6938195,376.7615556,372.8967548,378.7087882,391.7127557,403.5576485,472.7402968,459.5619961,446.2593587,412.0946204,394.9526022,381.3424501,376.4730916,379.6372707,386.6715674,417.2565188,437.3293374,441.0243655,454.5755421,481.5357163,471.2632775,339.3884074,303.3768301,346.5672559,376.2391613,396.1935653,411.0034386,434.1673216,464.4166972,499.8055559,542.8689952,636.2864568,523.9039604,396.9429674,261.0039057,156.2857164,146.325798,142.1241006,180.5565395,194.2896949,181.9589101,202.7050535,210.7644038,209.3470636,202.342272,193.4443876,175.6913874,182.7015458,198.985929,233.9734611,214.5284481,289.369315,466.5481786,576.4935332,684.0953685,753.9928021,877.7133342,953.5087811,924.4790295,927.5755877,907.7993085,884.4611677,850.8954643,814.6882166,789.4914542,772.1576875,765.6702768,767.0661595,769.6495466,761.6165538,753.940506,750.3306888,749.3761943,749.2909366,755.3108945,758.3362086,755.851204,757.1842637,753.3707246,750.3685566,740.1451078,732.2968149,722.1397475,709.3394294,693.7605029,675.1266808,655.4255292,637.2723428,625.2228207,616.2136349,610.9794427,613.5077343,618.7494032,629.485978,641.1038311,656.8852012,673.6758761,690.615389,702.8894966,707.0959633,708.5093189,703.8701951,668.6474239,637.9839237,614.5374169,604.0992684,587.280409,640.34652,672.5514268,805.9566096,654.4681031,657.7471399,680.1277143,670.4501158,659.2543347,664.73618,655.7494381,638.3567959,620.3565506,602.9343636,597.8763386,592.2992268,588.1720433,586.8817066,587.5198527,594.9067335,605.3368425,628.5715028,653.3481541,670.8149269,675.2696177,102.601641
