"Column: x, Row: y",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
1,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119,87.59445119
2,87.59445119,498.806076,508.3822413,516.6402545,530.2777893,543.7074412,556.4497435,567.3353222,577.749147,587.6566109,595.6345724,603.3350689,607.6459477,616.4458174,623.8091517,628.4030283,631.1032214,629.6018435,624.1646891,616.4024366,610.011178,605.4122219,604.3931857,602.8554499,602.9723002,604.8315493,608.5622411,612.6956955,616.1955904,618.9894918,621.0941435,624.0511837,621.3081137,616.644475,610.3782073,606.5161482,599.6242882,590.203311,578.6834498,564.7369358,548.5936158,531.5823066,512.382416,490.4713266,468.2483623,449.8266026,435.9934818,417.8855984,419.6704472,412.2970226,404.8120695,446.9526114,304.2706917,242.7999234,193.2742598,157.7465218,145.9203215,136.7335464,129.5541602,137.7437295,155.0516531,142.9507398,128.6941625,127.2738728,131.1231853,137.2732018,170.6022315,200.3041183,234.460093,321.147946,427.4789362,447.8552607,453.6546614,496.0910397,509.640339,530.2632409,531.4601118,529.166432,529.1488121,536.9902967,547.1507468,557.195336,573.1700975,578.2187552,582.5881497,586.9674598,589.8181855,590.0326404,588.5234036,586.5212564,588.0098593,590.5906646,593.5940206,596.9241126,599.1258355,599.2397947,600.0821536,594.5604677,597.2450792,594.9847743,554.8116389,562.7673571,562.0220321,548.0091997,548.5761403,568.4509527,548.8748606,570.4125199,569.1379389,567.219114,563.1440004,562.9707839,568.4824733,569.8091515,569.986183,564.0908507,557.6334791,553.3625262,556.2067097,558.6091806,562.4639093,554.2196235,546.3570782,541.0542756,536.7600234,533.1576632,529.6210788,528.8572533,537.6504767,534.2601348,531.1911832,523.8807734,514.961197,485.1553918,532.5129629,499.0650595,491.6419262,495.0791174,489.1564285,512.65376,509.9756477,497.7620712,494.2854472,497.709559,501.7415202,498.7788471,498.1054554,87.59445119
3,87.59445119,521.4795358,530.2972101,541.3446426,558.7154178,575.6913016,589.2748811,602.238287,614.1292359,624.8670327,631.782932,638.3248387,647.2023704,656.6679049,662.4410879,665.3195586,665.7846152,661.8912991,655.6564233,645.7319475,639.798672,634.4518139,631.3933969,631.5108986,634.2442931,640.3321259,642.8934988,645.2723113,649.535148,654.4446749,660.5038741,661.0366737,657.0492816,652.9570632,644.8803314,637.9959313,628.6353828,616.4196454,603.3879373,587.4689109,572.9625205,552.4204089,528.961655,507.7647818,489.3054339,467.8514129,447.6314848,422.1900175,425.8367931,407.5637349,350.9712207,370.7470791,290.7931463,221.9178458,174.2301842,142.8789029,131.1741713,130.8660607,125.8053718,122.9577617,138.3516901,135.067421,122.9120113,125.5293204,133.3147855,143.3951573,165.3507425,189.4557233,217.1099883,318.5316045,422.9484062,436.9593366,476.7640269,579.9837796,535.7725177,544.1539034,544.5092958,542.4299874,544.0222138,553.8177834,563.7332301,574.0616814,584.4284357,590.6546758,596.3147866,602.1401221,605.3362456,604.3308472,603.769313,603.5045739,604.984144,605.4768354,606.4728318,609.7385612,613.2711882,618.1222617,623.7024601,628.0294878,632.7195104,633.4678041,630.2132703,624.4442949,619.250337,606.6267919,601.5649048,592.0707568,601.9493453,592.1250485,587.4923998,585.3021026,579.0781198,571.2947411,572.6338347,574.1566536,575.1764919,572.5395318,566.7509483,558.7226034,564.6424609,571.5185331,573.7548636,568.6281494,561.2598675,555.6106366,551.3163836,547.7778067,544.8687707,543.196017,546.1750258,542.4457943,537.8635916,530.8679961,520.3921275,500.354552,460.0870088,470.5435068,547.0554665,644.4531344,451.770854,471.1877454,480.4573247,503.4797007,479.6171953,490.6698283,503.7081454,497.9200821,497.812279,87.59445119
4,87.59445119,545.8763412,561.1204953,580.4946431,600.1108405,615.9445837,629.7733743,641.903739,652.5792591,660.6838578,666.9750018,676.2152371,684.9961673,692.0930693,695.1876693,697.105393,695.3233497,689.5687087,681.2531285,670.8575125,665.5252346,661.2100502,660.6981586,662.1225582,666.0865039,671.3894778,677.2277046,679.2155854,681.2393668,687.7006083,689.3349678,690.3572782,689.8532785,684.5591405,672.3568848,661.3169708,648.2030102,633.4690412,616.7479557,600.5635919,584.097138,564.7054246,543.6172415,524.7190356,505.2046123,488.6711258,469.2073523,447.0890499,431.7131638,397.8319808,387.3321902,296.4133388,224.325826,183.2851875,161.8367665,144.1370653,135.5206489,128.2736815,124.8075606,123.4667275,127.6122147,127.4532048,117.5147809,123.6011609,137.2276144,145.5999355,164.6621239,174.5108714,209.0431675,314.1396641,428.4129218,473.4308719,518.8767902,528.8314302,548.0798168,559.9053272,561.1782484,559.5519409,562.2661849,571.5439785,580.8254938,589.4529247,599.7689003,606.1024679,610.2174693,616.7409607,621.2650091,620.5895163,621.2411953,620.5504217,620.6478024,620.1450867,620.4248692,621.3710814,624.5282179,631.6309947,640.9672581,648.5805538,657.6583995,661.902154,659.9376096,655.7570202,645.4959236,636.7318187,631.6058604,625.2691357,616.017854,609.487984,606.7991334,605.9004081,599.2991252,581.3764802,575.0752209,577.4984135,585.8686789,588.306413,577.3883844,544.2394683,555.4124513,584.5721493,584.1594115,582.0215823,576.8011852,572.9675965,569.6414949,566.667946,561.1524331,557.5265254,555.4569043,551.7294978,541.2088093,549.666459,532.0964398,509.4924277,490.977831,438.6881645,478.4923565,483.9557925,482.478472,462.154522,437.3149458,539.6446902,434.059926,481.2545005,506.1166943,517.4981073,522.2578183,87.59445119
5,87.59445119,580.3851861,602.9254857,623.5111351,640.6112024,653.1502457,663.9704703,676.4599937,687.8690331,698.4758651,705.6304192,716.5540605,724.5872494,726.0118478,732.3487274,729.8514646,722.0037944,713.6329009,703.5048167,695.4178906,692.2704083,691.2652264,693.6334858,697.033434,701.7058814,707.489694,707.7640158,711.0288957,714.7020536,715.4111374,718.8588045,723.4584245,718.3679742,708.6492197,698.086164,684.261071,665.2875627,645.1827092,628.5076134,608.4389252,592.8054421,582.8361654,564.4143146,546.6159973,525.9052093,504.2616001,482.9842997,462.2979492,435.7808623,387.596037,370.1662983,266.8430113,205.9620992,165.190953,141.9897378,139.0880973,133.4641059,132.649481,119.7797375,118.6003294,119.9944422,117.630424,115.6276396,121.1117896,136.8446833,147.3889814,156.5825093,159.571621,201.2952043,280.6651269,426.0317785,433.1496164,490.4536754,545.6430897,570.7822675,579.0457807,578.9657844,577.2628056,580.200496,588.123024,597.4180074,605.8582051,615.3359371,624.2440923,631.1006217,635.716916,640.8332432,641.1446277,641.3569941,640.0854445,637.6955099,636.8309,635.5419807,636.6050839,638.3416627,644.2399429,653.5058866,663.0633308,667.6805056,675.0185878,676.2627842,673.8008999,666.4802491,657.1889103,649.4909828,639.3292615,628.5857198,623.6726396,621.7608858,619.6267694,613.3737245,595.4879141,560.8519255,675.0998336,575.609797,597.9383181,597.3218728,563.2042104,676.175861,601.5368769,598.2266109,598.9096993,593.9046531,590.4960811,590.1579868,585.5313244,573.7680017,566.1794507,562.6822438,561.2820763,550.1900674,565.5379066,507.5079852,523.8351699,492.9654535,494.1145592,493.3179753,479.8952142,488.5180858,485.9461036,458.4843709,536.0727807,563.4668082,606.1604527,518.2832578,561.6040081,588.5478069,87.59445119
6,87.59445119,623.40437,644.5343312,659.2913115,673.7577168,683.6692682,696.0892579,709.2312602,724.8602949,734.9560617,743.7353702,757.8510395,763.9721286,764.5378308,763.3817022,759.7766262,744.2130574,734.3690007,723.8150288,720.5530616,718.7628024,722.1052212,728.6134987,737.0978971,740.9761542,741.1766132,743.9064235,740.6999159,742.8485595,744.8520612,746.4768757,744.9203205,742.7651121,738.2663628,727.6675243,710.0402568,684.7658672,656.5886316,631.5293764,635.8203275,617.6805888,601.8941074,580.2938477,566.0366251,547.0148409,519.842819,494.1392108,468.8544046,429.2332156,345.9323443,300.2807426,232.189568,182.6043064,150.8960695,135.1942018,136.1937682,137.7380198,127.4551176,124.0815183,127.3118974,126.6258958,120.5652248,116.7078405,114.6166951,134.4483675,131.187735,137.1809469,140.9109627,168.6684004,244.4110538,348.2180819,398.386827,452.0787,543.0648691,592.2307911,604.6902944,598.8333006,595.3925805,597.1037273,604.0834104,612.6843497,620.0279901,629.5611617,640.4298153,648.1654087,657.0446205,660.7378823,659.5562081,659.5209959,657.957449,656.0831091,654.7133841,652.6345505,652.4847424,654.8882593,659.4160419,667.721747,674.2118054,680.566144,684.4888241,685.4408347,681.5434505,675.0834591,669.3195393,660.6901502,650.3720725,640.2587279,635.8262322,633.0997415,630.1875699,625.4823979,616.7038134,594.6589637,668.5655671,682.4811084,713.9879635,614.2161481,626.4658378,625.127875,618.2009694,610.4783618,614.9922517,607.3393364,609.9544233,599.8421397,587.6556193,559.4901725,549.6389846,556.3696077,570.7482937,544.437973,571.6034402,533.8759456,550.7960909,546.0137627,556.200032,522.0979583,511.280012,515.2628872,599.1753351,435.8821222,479.8076671,665.7586061,543.9486477,608.2374607,660.2209376,686.664489,87.59445119
7,87.59445119,663.1015713,678.9096263,691.0397104,706.4847721,716.4048666,730.4463476,745.6930221,760.3525829,769.6915015,776.9701238,799.6680137,801.6919292,790.2529936,788.2035637,780.4197449,768.9430726,756.4121218,751.5985256,751.5981818,751.8487742,758.2494121,765.7328242,771.2503579,775.4733426,775.9037679,770.7701223,769.4738241,766.1267043,765.3932201,767.9778633,770.836755,770.6448339,765.33681,753.513631,733.3221748,700.5953711,666.0498446,625.4768438,623.5624107,607.6360981,595.9028709,585.6091969,570.4109713,560.2988576,536.8630903,504.3497699,465.126612,399.9306856,334.6783314,241.0420931,191.2327525,163.8495929,143.6501863,134.9604155,129.2868869,134.0307388,131.8294244,133.5484701,133.518713,125.4018155,119.3716375,114.7068455,116.7447429,124.5313108,121.5020628,126.2460364,129.9866155,149.5334505,247.4107473,346.7165397,396.7062387,433.9928487,542.8433545,616.1883835,633.2027688,626.2498511,620.8603445,618.8643051,621.6279108,626.9991501,636.0008084,646.0423249,657.5957655,667.5332589,677.9337857,683.0555284,682.206063,679.2037374,676.3505587,675.8721848,675.9115965,673.6351563,673.0266472,674.3032661,677.6920109,683.0275154,688.1270606,691.8767192,691.6729148,690.5964526,687.1223047,682.4442716,677.3706293,668.6365458,656.9970635,645.9523807,644.5222379,644.1238482,643.3769323,642.8790763,640.08129,634.4378768,586.1480974,689.85055,705.231509,699.2078281,631.0195088,645.742111,629.0451105,589.1087531,701.4240267,707.848137,714.4225605,565.6921105,656.4817374,659.4690049,627.5048278,617.8876783,621.6129769,626.6984644,624.0643716,642.3432488,590.1091647,583.0706806,655.2243103,570.2104832,547.5031809,572.8974274,591.5564231,627.7570532,621.1501021,639.3040941,674.6074171,683.7876349,723.6655302,762.5708453,87.59445119
8,87.59445119,694.4166519,705.9339839,717.2176578,732.1482237,750.129358,760.839177,777.0586578,789.7147418,799.3768358,809.1954291,833.9457204,839.996837,825.2864179,810.1287927,803.2871794,792.8985472,785.3916387,780.3752943,786.0462494,789.7731799,794.6786972,806.4791904,811.6749932,823.5887158,804.0497347,793.9757835,787.1917354,782.781848,784.0421973,791.3483298,798.7499263,800.8313569,795.2988547,784.3162293,760.7806798,721.0518797,645.5233787,544.4490469,574.6660065,593.0148404,602.6739321,592.5728447,578.9138291,568.962989,551.6692063,515.4382212,460.8002377,396.9762558,275.8813564,196.1674514,155.9384294,144.3333797,141.9393964,132.7928721,148.7444667,145.9778956,139.1653758,136.1137731,136.7281823,131.0139672,121.4798733,118.3721466,120.6734244,121.7300871,118.6468273,118.2988459,139.7229502,164.1632984,268.9845402,376.9011902,405.3819242,442.2803638,569.3116857,648.0766174,668.5395472,659.2395597,648.3552669,646.0765598,645.642508,647.1110541,653.5195288,664.0692782,677.6770192,687.468239,696.0085162,701.5172193,702.570164,702.9612825,701.2124705,699.756943,700.1205894,699.7317742,699.7545053,701.1870914,702.2827537,703.0598596,704.1797325,705.4170637,701.1327161,695.8330893,690.2780103,684.5255641,677.1358003,667.0817516,658.2478604,653.2980113,654.1148134,655.6405837,658.3738854,662.793131,670.1410076,676.4471302,680.1185641,644.6917997,753.8343257,728.3329848,689.1188603,632.7947099,619.8671915,610.7848728,689.4717644,689.8368106,701.0714852,690.4974169,672.7812572,638.2595971,688.9773792,659.8539378,649.6428648,652.6441119,641.6790439,732.4712275,646.1771338,629.7469428,639.9048776,645.8448435,645.8663667,641.6229776,635.2090125,639.6770012,663.7467483,679.3144822,698.151243,752.3467531,788.7182268,928.4925226,87.59445119
9,87.59445119,711.6293224,729.5371256,737.3925844,756.3517577,772.0453431,787.7218736,803.518475,818.9087514,828.3450488,840.9084281,848.1741711,862.0855125,856.4788099,843.7268374,834.5830657,824.0736954,818.9394976,811.9309591,812.1252771,817.413686,825.0561209,866.4588593,887.0436615,855.055983,837.5444051,814.3646914,804.3354913,803.9677662,806.3274712,814.8276058,830.4809876,836.6466663,831.0855317,814.5090843,782.6178562,744.8169086,562.3426036,460.836318,494.9361364,605.7721515,598.7855628,588.0024503,587.6897055,577.5967511,555.7100708,516.3548364,394.3177438,354.1056139,261.9361754,192.1833565,149.9502011,136.9087665,141.5909628,141.905152,143.2425181,150.6652566,143.8875336,143.4014541,157.1803376,144.0347206,125.4256693,126.301653,119.5549261,115.5684116,115.7855303,117.4300319,148.4180337,208.9370392,308.6854915,389.3580472,398.7113389,491.2494408,597.9650214,691.9148252,713.0023443,700.069869,683.6013099,678.265657,676.8360378,675.4317658,677.1016023,684.0670342,695.9434441,707.1458026,715.5020899,719.3758578,721.2352858,723.4662408,724.0985514,725.6622392,727.1557578,727.3479706,729.9742154,732.5751192,732.8826448,730.6888976,727.0174839,723.652584,716.5086267,707.6733441,697.1728686,685.8044101,674.0177685,666.8770937,662.0040682,662.155195,664.7708372,671.0121598,677.2157686,686.3944108,700.7363663,715.0554118,728.9358026,732.3317745,709.4193609,680.1940538,660.8743958,739.648421,691.1502835,673.9825158,678.6211845,720.8369294,718.9792381,728.060958,687.9209136,729.0865992,798.460009,671.4625556,663.8843748,679.4995315,689.0771415,693.2648115,704.4800257,691.2672729,675.6499103,663.6755428,665.1474947,661.8190356,661.9673858,672.3875956,687.6906614,716.4743573,755.9929374,821.5387912,741.0046504,1221.870059,87.59445119
10,87.59445119,727.2439533,744.3326931,760.1880289,776.7118081,794.6766589,806.2529745,821.4775147,840.4240199,852.8661611,868.8364198,878.1198348,886.349488,888.2006675,880.3013944,868.972864,862.230082,858.0850852,847.6721829,849.0793517,859.7478282,867.6408427,940.745318,925.8708999,909.8509484,867.938845,846.4146834,831.8165575,828.0712507,835.0219454,843.6462022,872.5728982,880.4054788,864.0434935,851.4274337,846.9511922,769.0275987,544.6910699,426.7738004,512.7234969,606.2115374,607.0047101,597.2629715,592.370016,580.0962106,550.0709493,500.1598199,409.7484066,285.8570952,211.734768,172.7538972,142.0422556,140.2547093,136.2009672,153.1276428,154.0056332,157.1575184,161.2299242,173.9594459,169.3356605,143.3026181,127.5787955,122.0018257,117.1711516,116.6749973,118.4941279,120.7717579,161.1393354,242.1479457,342.5383903,413.4221594,444.3766257,535.4931546,646.1143837,745.408807,758.0861141,746.5046962,725.7471721,717.0465238,711.1214595,707.3079024,706.133085,710.6822121,719.6094418,727.4854929,732.2205224,734.3178056,737.2192631,741.650652,745.3052798,752.0691093,755.8924666,757.4356148,760.4698211,762.5406629,761.4283576,757.1912834,752.9241887,746.3040934,734.905112,722.4533763,706.4657653,688.9762546,676.8378026,671.4917011,670.5553343,673.6667941,679.29018,687.9423983,699.6046499,713.9580972,731.6462526,754.1088334,773.0007764,786.56554,793.350055,791.4212687,785.4165202,749.7211146,715.1900886,696.0812461,688.0696091,668.5624589,718.5328317,753.2613904,850.2286975,722.6982049,737.8848868,755.0300301,747.9071037,737.291343,748.8368535,743.4467371,728.7507977,713.8485359,701.5918984,699.3580199,695.9382419,696.3163381,699.4956311,706.0323051,722.7876018,749.5515751,788.2248581,827.1600157,848.9228027,851.9797206,87.59445119
11,87.59445119,748.5828514,760.3709088,778.3493358,794.2219553,809.1569398,820.1554965,840.020441,858.1095884,879.6659663,910.5817449,921.592758,921.1718367,921.1453007,915.355511,911.1116942,904.4057136,898.3702038,890.4181339,891.1247798,896.8853748,905.2168438,956.7143271,970.1415017,964.2397263,894.7135134,926.1655019,886.3968153,868.2201342,868.3027936,882.094556,918.1271984,911.1359706,893.2540929,880.0629836,842.7812329,686.288471,530.9000692,498.2103019,536.1019164,611.3449295,611.8658853,604.9417991,602.612475,581.1789681,547.9536616,517.478511,351.5468074,269.348371,217.3953041,176.3426585,156.006907,143.2002653,155.2995038,161.763914,160.6124434,165.3396702,171.0019167,181.1772359,168.8012059,145.7611001,135.0173306,132.9754415,129.1350903,129.1484649,127.3123137,127.7229028,196.2722138,293.9200066,409.7162887,473.0421882,552.3131362,601.0533304,682.5469593,806.3038556,820.5630165,803.3534397,777.9779539,761.8285323,751.1326404,741.7051524,737.6432635,740.3052233,746.8989342,751.1761347,754.7691991,753.4493267,755.5240003,762.107956,770.0671757,779.7889219,787.1622661,790.2839657,794.653449,796.52246,793.2601305,786.8439602,778.7584424,769.4657205,750.8619382,730.1246374,709.8011994,693.7305026,683.8430387,678.9208794,681.1698686,687.0383794,697.6090711,711.3136715,729.3578341,751.0990328,775.1641536,799.9973517,824.2661126,845.7927524,860.3111656,870.3673325,873.54551,863.7427705,842.8145607,818.876211,801.2285065,782.0522793,766.5604994,765.4334168,769.5754805,780.045317,788.2716011,787.3544073,786.7264576,787.6523091,784.6698635,779.1166161,767.6452043,752.7520752,736.4427508,727.3375289,721.9112019,727.050634,734.2791974,743.5516372,755.8040625,781.5002298,819.4767068,857.1016327,891.5249051,919.4804611,87.59445119
