"Column: x, Row: y",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
1,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286,1689.709286
2,1689.709286,9790.576375,10051.05376,10196.31106,10548.41405,10759.83206,11141.56991,11420.25568,11035.06595,10932.09785,10891.03281,11079.50922,11175.21356,11345.94383,11451.48796,11678.61474,11169.849,11165.9392,11244.33724,11377.85631,11600.47857,11587.00839,11689.35951,11752.64129,11838.46107,11902.8651,11766.29562,11773.09954,11543.1596,11510.08421,11472.87079,11496.00346,11447.25028,11294.68512,11171.06318,11121.2107,11205.77064,11352.48777,11309.73117,11032.83401,10711.91074,10478.70501,10005.45348,9699.506394,9282.022515,9022.140157,8844.089291,8527.725538,8445.399472,8268.031465,7984.312751,8457.332075,6996.685317,5623.441503,6030.955166,5686.915742,5516.883012,5403.703196,4935.243934,5391.86861,5194.834694,5454.135216,5992.327336,5697.328226,5325.856078,5173.816919,5626.764143,5535.645504,6760.268978,7420.00887,7285.99072,7518.256036,7801.170629,8413.596367,8301.888405,8431.814621,8302.173017,8237.109379,8230.620329,8316.887468,8387.194688,8493.524762,8657.632206,8749.459557,8832.045018,8919.28051,8976.799588,8985.157704,8954.213562,8929.866151,8969.683689,9008.246304,9046.561795,9081.453075,9110.201519,9106.493133,9140.325727,9139.406675,9125.898628,8967.086011,8407.785252,8281.780804,8159.958806,8099.490858,8317.789066,8623.508901,8219.788967,8506.802516,8530.896804,8545.589038,8511.750311,8496.400334,8573.336543,8610.106202,8615.542334,8636.515758,8657.803043,8645.352805,8703.013869,8761.942995,8814.408286,8740.75977,8668.230192,8622.013387,8612.595054,8621.69957,8617.465388,8688.81552,8866.884758,8927.70781,9014.919935,9051.190043,9002.446755,8887.967056,9670.444246,8277.670841,8470.163101,8641.043918,8767.912617,9000.554017,9198.14507,9298.857303,9418.983267,9704.038476,9879.32185,9778.863044,9809.680361,1689.709286
3,1689.709286,10185.39531,10272.0261,10462.81587,10856.03742,11249.37417,11430.87471,11210.95807,11309.8738,11253.41548,11103.25146,11268.1615,11451.8176,11830.67511,12069.17022,12197.50352,11770.95024,11957.08364,12079.60572,11724.8699,11913.43769,11838.68278,11954.16368,12014.59727,12105.18443,12348.62091,12451.85808,12488.12578,11786.98494,11703.82972,11769.0399,11654.29002,11519.00571,11444.50175,11359.84525,11322.6562,11311.15591,11327.22122,11453.50404,10896.62286,10802.0176,10339.32184,9933.540599,9600.600349,9414.855564,9183.822446,8982.529532,8651.650476,8549.800495,8061.012052,7121.188417,6540.91646,6237.682414,5726.60065,5779.52062,5078.45994,4786.969638,4785.018742,4733.447767,4894.969501,5005.325204,5262.336336,5488.338378,5342.359746,5601.406921,5243.24211,5116.055193,5429.989514,5711.237767,6194.07033,7151.976405,7454.023823,8041.780255,9454.892386,8605.923779,8560.491409,8485.733004,8429.685259,8397.544801,8444.887305,8517.942947,8586.450505,8682.292603,8776.523806,8884.010483,9004.72396,9054.655613,9060.335977,9065.112812,9056.261106,9066.904289,9079.616396,9087.417796,9117.480347,9171.151429,9246.223935,9340.394588,9466.948331,9541.34835,9516.927781,9481.379453,9289.4003,9016.789089,8905.019056,8870.847868,8715.463231,8748.313633,8666.317176,8624.349225,8662.153988,8614.641917,8516.304586,8505.440291,8543.360158,8540.953873,8582.328354,8569.493683,8571.813041,8686.892716,8753.677764,8810.27826,8762.677559,8671.313856,8643.889142,8639.02512,8651.745879,8688.644048,8736.145059,8862.335611,8916.730957,8968.664095,9007.799448,8985.74784,8899.404823,8542.078002,9486.684691,9775.074731,10039.33861,8042.336028,8256.628883,8552.886809,8784.855362,9110.814161,9556.330864,9808.077982,9702.034523,9659.585816,1689.709286
4,1689.709286,10324.08241,10812.32124,11212.00214,11445.82072,11629.94385,11543.10203,11447.84467,11600.83816,11609.94961,11411.11918,11612.8932,12056.73663,12526.7342,12540.61662,12458.44241,12216.19414,12459.39688,12349.21913,12225.02797,12213.39067,11947.17869,12236.46101,12168.25974,12440.59304,12569.82595,12725.90782,12198.06011,11921.65653,11834.50471,11761.31501,11783.16588,11770.97126,11702.19082,11535.59836,11417.40928,11351.40545,11276.79688,11121.35913,10740.40408,10737.48098,10324.12432,9983.717187,9735.908901,9563.545387,9490.022183,9345.001301,9173.611545,8940.630335,7915.783643,7670.609076,6003.478715,5586.238115,5385.555348,4623.866256,5310.342469,5137.437686,4714.503489,4744.742997,5225.667363,4890.131728,4887.609803,5068.988751,5033.141067,5058.527764,4991.823069,5096.442055,5245.967967,5619.279434,6100.700695,7152.599515,8017.066349,8851.104413,8816.849775,8723.048276,8623.273919,8627.63935,8612.948205,8547.837542,8562.529077,8649.803942,8718.377823,8789.685258,8906.127745,8991.0522,9089.499169,9156.687135,9130.947321,9167.606744,9173.237001,9189.246512,9171.610726,9171.676481,9159.819153,9193.256045,9291.077978,9397.890131,9524.636603,9687.086278,9747.854646,9667.394383,9591.810713,9491.297099,9352.974562,9195.177567,9075.784481,8938.234046,8807.565617,8759.219241,8775.928233,8773.994735,8614.182108,8523.502247,8479.000053,8568.241922,8646.75994,8573.921424,8310.526153,8395.767766,8804.829626,8839.436856,8800.563781,8724.354852,8704.777843,8691.542915,8709.235821,8729.091483,8790.451035,8937.467341,8998.360133,8941.532206,8794.48673,8701.232781,8711.48609,8624.643187,8203.148973,9435.309792,9597.541095,9575.455608,9493.232626,9200.576659,9624.357279,8407.736359,9158.154586,9575.423081,9671.124129,9677.101855,1689.709286
5,1689.709286,10761.60425,11256.95144,11730.75063,11996.49261,12135.89027,12035.95161,11837.74061,12094.94498,12041.35487,11928.71047,12320.96173,12652.17266,12797.97869,12966.84723,12927.58642,12828.37778,12701.42288,12556.06629,12276.68102,12291.03531,12477.38085,12504.21655,12597.65205,12674.92857,12899.614,13006.00874,12359.27433,11986.61642,11927.33888,11983.69903,12098.92508,12021.0747,11878.16545,11726.72304,11605.87616,11386.82608,11249.16516,10915.31549,10475.79994,10315.66685,10374.41543,10149.00566,9961.024617,9804.13758,9694.925731,9604.931876,9354.495171,9033.86267,8067.383611,7215.208785,5827.393762,5143.166557,4618.950549,5005.868706,4380.075525,4812.803501,5173.149469,4747.841502,4779.985436,4655.479546,4491.263355,4635.061031,4705.368206,4727.003328,4838.205494,5123.068264,5035.690305,5501.725716,5882.275069,7139.443094,7444.501433,8666.82519,8720.506762,8632.533368,8741.631971,8753.186242,8732.562792,8718.304134,8712.884946,8777.142663,8844.516245,8931.536108,9080.020681,9181.263858,9246.817099,9286.807588,9284.259574,9277.297169,9271.06972,9273.850035,9258.657357,9284.117323,9302.255519,9276.201943,9331.22122,9436.088877,9540.476024,9684.343594,9765.465244,9794.584911,9731.805304,9610.785337,9467.729425,9296.612089,9163.204963,9017.353406,8909.667217,8882.275257,8853.740147,8864.547018,8775.770634,8537.973257,9807.460756,8414.770771,8629.157364,8746.356197,8662.101081,9955.361593,8836.516676,8896.95046,8897.49782,8810.609554,8778.406642,8733.205786,8754.18988,8748.9189,8793.374572,8942.009063,9069.394088,8851.999451,9438.329061,8784.152866,9362.706896,9085.958041,9160.264281,9144.650959,9039.163544,9583.682521,9562.660951,9852.474174,9981.434245,10143.80076,10572.99676,9201.797234,9712.227749,9790.471571,1689.709286
6,1689.709286,11823.86048,12111.23536,12303.19503,12552.872,12727.40929,12441.36655,12449.296,12686.6498,12490.06033,12487.85129,12908.94037,13312.62082,13313.63801,13286.83789,13243.95214,13024.72828,12876.26875,12747.43644,12728.47611,12702.99197,12630.6899,12848.85715,12880.7243,13073.43266,13209.73518,13201.97149,12574.85512,12222.24204,12174.85006,12254.40132,12272.33337,12264.53842,12223.68639,12069.29304,11866.73958,11625.21551,11198.64277,10650.73176,10473.30411,10397.84681,10395.55206,10221.36603,10114.22901,10016.31004,9882.779109,9636.454109,9341.88962,8815.86341,6949.865336,6134.973781,5593.940152,5164.9493,4813.456846,4916.851052,4283.462833,4986.268368,4677.644149,4541.781053,4647.643381,4448.665009,4189.331431,4247.582602,4514.182493,4802.885913,4275.122983,4717.849294,4866.926277,5449.738485,6069.823636,6269.575892,7393.674656,7905.592475,8370.902925,8575.116337,8821.31419,8868.328352,8862.713341,8862.829105,8834.561347,8891.209781,8950.85999,9074.237951,9206.100721,9317.924113,9415.646275,9455.3435,9403.654384,9365.217579,9380.361223,9361.06365,9344.350254,9356.692019,9357.453166,9384.21942,9371.806932,9472.172349,9588.42464,9666.465842,9747.46567,9762.569805,9729.078672,9611.053297,9483.077884,9308.434903,9177.266921,9074.900595,8993.728066,8965.128106,8946.833439,8957.665865,8970.252555,8798.241639,10038.68577,10046.18443,10080.86338,8676.707208,8971.967189,9035.835276,8908.61536,8825.729889,8762.076606,8664.903199,8644.11942,8696.322146,8609.778254,8465.412574,8471.35519,8575.13705,8839.65344,8809.661202,9427.729892,9260.370091,9805.865687,9728.472299,9628.035265,9564.187623,9643.733971,9836.120055,9923.830322,8194.938057,9498.497111,10681.39362,9025.319679,9521.431022,9839.317634,9946.84362,1689.709286
7,1689.709286,12334.45161,12524.07874,12628.96476,12954.35064,12622.79306,12638.78801,12948.83265,13345.79673,13278.95496,12980.34389,13271.32068,13671.39898,13541.15473,13523.91109,13407.33325,13247.27816,13095.02346,13035.8714,13047.47518,13028.26106,13091.74152,13071.21872,13202.94827,13327.96672,13321.53827,13444.30338,12894.03596,12466.29123,12394.76596,12419.88707,12465.584,12498.87429,12441.3844,12327.76259,12170.30064,11757.10147,11194.51755,10171.94618,10106.85299,10332.98571,10297.08827,10194.15449,10077.43073,10024.95207,9913.179514,9593.763793,9179.344031,8106.971438,6824.935283,5454.110883,5146.750619,4776.061233,4798.324072,4653.422113,4489.708469,4645.796625,4516.657482,4416.64441,4539.548828,4130.406942,3975.55074,4205.855781,4395.785423,4339.697323,3922.906968,4263.844405,4843.93218,5250.511534,6107.065272,6529.733833,7408.651525,7686.639802,8315.145043,8691.290362,8978.378891,8987.017851,9004.984747,9001.815104,9001.369728,8984.838139,9068.818295,9201.351283,9321.058292,9442.67257,9508.14062,9549.827111,9493.993421,9451.071043,9402.864739,9408.877675,9425.427345,9397.553558,9456.55976,9448.120594,9458.566468,9496.056288,9542.610451,9621.610697,9646.705487,9668.090584,9616.202193,9525.18122,9428.233884,9315.165564,9172.634874,9071.638019,9024.562922,9042.045412,9030.117507,9066.082767,9119.183827,9106.33378,8737.323499,10305.15088,10178.37843,9775.84641,8785.259098,9061.7613,8998.659269,8679.04844,9930.534226,10005.7569,9803.179102,8435.091358,10003.59584,10045.59417,9963.068338,9800.890975,9817.183263,10048.64171,10292.56417,10417.92769,9849.155012,9744.618874,10204.32546,9008.900666,8929.511266,9062.176608,9121.929255,9201.935912,9187.803396,9217.622766,9401.697504,9681.282483,9928.739994,10143.4781,1689.709286
8,1689.709286,12400.07387,12582.97595,12719.42338,12811.78803,13004.30313,13425.55697,13575.06974,13668.31258,13712.89206,13511.89938,13522.72264,14031.47882,13876.58732,13694.62448,13617.95038,13514.28122,13431.18414,13357.87851,13368.71125,13371.54122,13339.94368,13529.74768,13581.96711,13693.2684,13558.28879,13537.83176,12908.03467,12559.48141,12469.27575,12591.4991,12724.5467,12806.54603,12810.57086,12750.66584,12419.06813,11919.64345,10665.35475,8902.419618,9174.44713,9952.673063,10233.73938,10147.85911,10045.91626,9991.798432,9886.806953,9518.277087,8740.063299,7961.206647,5828.044262,4724.678789,4203.8001,4755.133139,4781.72984,4195.218711,4575.766737,4644.762465,4387.986238,4242.631579,4360.484466,4093.0043,3989.844879,4144.467536,4218.503206,4067.172339,3819.507692,4029.317178,5034.0012,5484.375173,6090.767351,6573.111905,7327.843621,7298.641591,8358.275723,9007.471872,9285.557281,9161.451789,9064.74432,9081.422802,9084.931533,9077.964941,9171.505446,9249.193015,9382.552731,9518.12448,9609.746137,9594.051495,9525.671515,9511.684367,9525.241789,9484.931212,9490.463611,9528.963922,9525.959706,9542.082207,9579.548063,9568.728325,9581.386456,9573.944791,9569.115897,9542.423893,9482.957014,9393.473053,9262.10639,9165.983825,9092.545265,9047.297082,9044.639693,9075.870524,9102.019959,9157.703498,9267.504651,9361.914577,9449.408491,9217.532521,10847.29022,10438.65267,9562.374949,8844.028096,8820.579818,8800.418323,9784.767666,9790.413433,9969.876631,9940.068257,9914.161477,9611.840251,10264.59289,10097.18726,10079.12847,10226.08592,10122.80273,10773.90406,9486.190309,9543.686286,9521.078701,9422.748861,9350.440929,9291.04177,9303.819809,9403.597424,9512.804695,9635.172836,9745.970294,9812.947321,9689.524934,9942.95062,1689.709286
9,1689.709286,12405.35371,12625.47029,12689.9956,12812.26878,12874.43027,13071.7378,13589.66573,13942.5064,13990.02716,14084.25138,13859.29084,14113.64901,14172.44385,14054.92239,13971.02156,13856.02748,13767.24849,13662.35747,13622.86001,13635.20669,13759.09352,14172.02576,14364.00237,14090.33047,13963.32154,13793.90639,13679.8952,12783.10762,12742.22721,12872.02308,13138.37575,13320.95973,13268.43342,13043.25994,12691.44792,12154.2726,9774.136484,8436.35165,7959.667974,9837.049419,10065.35948,9966.203693,10062.4595,10039.24793,9740.602573,9180.294642,7498.018619,7096.944956,5462.931629,4979.394888,5046.957138,4955.839821,4572.595908,3860.14858,4079.459053,4470.49096,4238.189677,4133.502437,4414.127105,4119.83884,3852.334758,4137.446891,4056.34817,3880.535566,3796.069181,4117.594073,4893.659325,5713.855704,5875.818125,6391.459717,6638.1623,7734.541262,8635.894559,9377.76502,9639.641199,9464.107403,9247.780407,9219.040415,9199.600771,9159.347167,9203.41883,9275.671615,9396.447024,9501.178575,9570.52862,9581.990406,9580.318482,9620.482898,9613.304554,9641.001613,9609.216556,9665.452732,9707.70573,9715.609681,9707.090833,9707.919582,9665.566864,9602.098224,9566.250812,9498.471609,9391.99789,9239.900943,9119.872318,9054.354656,9016.337108,9028.68982,9062.556048,9117.738928,9186.267675,9272.653137,9390.494537,9519.206534,9621.22045,9654.614809,9571.464419,9395.188973,9284.842442,10160.90517,9558.380253,9412.576718,9443.095888,9895.26873,9992.346602,10071.8177,9491.767746,10328.01352,10716.21225,9262.206273,9438.080573,9591.278068,9685.257695,9750.08559,9768.888807,9714.915373,9600.059518,9441.541572,9446.257838,9447.127266,9422.344498,9420.616938,9564.921703,9738.683569,9873.072262,9955.073216,9849.805578,11626.87714,1689.709286
10,1689.709286,12390.5504,12606.64201,12736.32169,12770.26509,12874.39729,13002.34608,13292.30604,13581.96438,13846.2824,14354.77432,14218.20787,14140.00005,14216.39109,14431.61859,14311.28876,14216.99594,14177.14992,14029.68897,14049.90563,14173.61479,14210.91054,14856.50886,14874.87649,14811.91408,14421.96909,14190.49887,14020.36007,13093.77958,13185.63802,13363.41939,13779.08584,13848.51584,13637.00906,13492.31126,13288.3607,12082.59251,9095.797074,7935.318327,8351.239796,9704.22779,10012.82258,9945.901239,10021.91916,9905.514131,9529.48493,8839.573373,7646.139699,5740.661992,4835.797741,4672.640084,4929.770897,4767.754741,4036.593216,3796.15199,4166.231334,4412.684,4292.461762,4381.790135,4315.950462,3876.905247,3709.851226,3920.578897,3879.220749,3913.585922,3740.140126,4266.080523,5125.991102,5588.422588,6071.97184,7046.329578,7342.761194,8069.264176,8939.501208,9692.44017,9899.094861,9756.232757,9481.035989,9401.622939,9342.626696,9309.396328,9303.282072,9355.600844,9440.100968,9488.207705,9537.861522,9556.857738,9580.731302,9621.045633,9687.153058,9766.033153,9788.005427,9814.703809,9831.839812,9873.433009,9844.659855,9821.235652,9774.714527,9695.734013,9565.155711,9452.583267,9306.803917,9136.750685,9038.20722,8995.575503,8995.057314,9017.496647,9062.75593,9159.695944,9257.430694,9387.995693,9520.343382,9690.371571,9813.932884,9948.874251,10088.75729,10056.93115,10021.41661,9763.529033,9513.66621,9443.383121,9445.838371,9276.524317,9559.924124,9939.904056,10716.42728,9411.447169,9680.344083,9769.451435,9835.206866,9848.287533,9942.781907,9960.683156,9875.371108,9761.523853,9677.807925,9582.380912,9525.06023,9571.753851,9522.80265,9531.503227,9576.699529,9765.787754,9841.744349,9974.851527,9961.626451,9936.615627,1689.709286
